Setting,RMSE,MAE,R2
Full Features + Linear,131.1893690294619,69.23508291259682,0.4394407429569378
Grouped Features + Linear,146.40342369228276,79.00397081547789,0.3018854200394505
Full Features + RandomForest,102.01672799227529,56.85584937738651,0.6610255047749629
Grouped Features + RandomForest,112.04746815654771,64.50796077059772,0.5910894293899226
