RMSE,MAE,R2,MAPE_%,Model
112.04746815654771,64.50796077059772,0.5910894293899226,45.654990401798315,RandomForest (Grouped Features)
146.39665821446565,79.0031166957409,0.3019499399728762,55.02111561133107,Ridge (Grouped Features)
146.40342369228276,79.00397081547789,0.3018854200394505,55.021235576192076,Linear (Grouped Features)
