room_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,minimum_nights,availability_365,number_of_reviews,review_scores_rating,price,host_days,host_identity_verified,host_is_superhost
1073607.0,-33.89930759,151.158511,2.0,1.5,1.0,1.0,120.0,25.0,1.0,330.0,67.0,95.0,65.0,2164.0,1.0,1.0
1074777.0,-33.85385917,151.1790763,4.0,1.0,3.0,2.0,300.0,60.0,2.0,139.0,1.0,100.0,221.0,1905.0,1.0,0.0
1077350.0,-33.87423556,151.2156174,2.0,1.0,1.0,1.0,300.0,90.0,4.0,88.0,17.0,98.0,299.0,1953.0,0.0,0.0
1077410.0,-33.86640797,151.1684419,3.0,1.0,1.0,0.0,0.0,195.0,2.0,330.0,1.0,100.0,185.0,1823.0,1.0,0.0
1077610.0,-33.89513275,151.1684011,2.0,1.0,1.0,1.0,500.0,60.0,2.0,193.0,35.0,90.0,115.0,1903.0,0.0,0.0
1077685.0,-33.8717173,151.225611,2.0,1.0,1.0,1.0,600.0,60.0,3.0,222.0,44.0,98.0,220.0,2220.0,1.0,1.0
1077803.0,-33.89997408,151.2697644,2.0,1.0,1.0,2.0,1000.0,75.0,21.0,344.0,7.0,97.0,120.0,1903.0,1.0,0.0
1080742.0,-33.88241929,151.2292706,2.0,1.0,1.0,1.0,300.0,60.0,2.0,151.0,39.0,99.0,125.0,1903.0,0.0,1.0
1084573.0,-33.83494919,151.2048462,1.0,1.0,1.0,1.0,300.0,60.0,4.0,0.0,35.0,93.0,74.0,1901.0,1.0,0.0
1087925.0,-33.87655077,151.2190374,2.0,1.0,2.0,2.0,300.0,25.0,2.0,119.0,29.0,92.0,80.0,1903.0,1.0,0.0
1088054.0,-33.89427399,151.1769098,2.0,1.0,1.0,1.0,300.0,60.0,5.0,0.0,0.0,96.0,98.0,1936.0,0.0,0.0
1088417.0,-33.81804606,151.1317816,2.0,1.0,1.0,1.0,300.0,60.0,2.0,274.0,56.0,97.0,80.0,1963.0,0.0,1.0
